Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,青春期生育率（每千名 15-19 岁女性生育数）,43.593,42.356,41.119,39.6676,38.2162,36.7648,35.3134,33.862,32.792,31.722,30.652,29.582,28.512,27.3444,26.1768,25.0092,23.8416,22.674
Afghanistan,AFG,青春期生育率（每千名 15-19 岁女性生育数）,153.951,150.192,146.433,143.7648,141.0966,138.4284,135.7602,133.092,126.633,120.174,113.715,107.256,100.797,94.429,88.061,81.693,75.325,68.957
Angola,AGO,青春期生育率（每千名 15-19 岁女性生育数）,196.6992,194.7656,192.832,190.5114,188.1908,185.8702,183.5496,181.229,178.4632,175.6974,172.9316,170.1658,167.4,164.0252,160.6504,157.2756,153.9008,150.526
Albania,ALB,青春期生育率（每千名 15-19 岁女性生育数）,19.0372,18.9396,18.842,18.765,18.688,18.611,18.534,18.457,18.9116,19.3662,19.8208,20.2754,20.73,20.5124,20.2948,20.0772,19.8596,19.642
Andorra,AND,青春期生育率（每千名 15-19 岁女性生育数）,,,,,,,,,,,,,,,,,,
Arab World,ARB,青春期生育率（每千名 15-19 岁女性生育数）,54.34604771,53.30940739,52.2977427,51.89782434,51.53838449,51.21296301,50.8396013,50.51953947,50.3052866,50.11920544,49.96689653,49.86689093,49.79082562,49.34496325,48.85366465,48.27973701,47.50548913,46.68885146
United Arab Emirates,ARE,青春期生育率（每千名 15-19 岁女性生育数）,26.3898,25.9894,25.589,26.4506,27.3122,28.1738,29.0354,29.897,27.2716,24.6462,22.0208,19.3954,16.77,14.7252,12.6804,10.6356,8.5908,6.546
Argentina,ARG,青春期生育率（每千名 15-19 岁女性生育数）,66.3552,65.2066,64.058,63.834,63.61,63.386,63.162,62.938,63.0638,63.1896,63.3154,63.4412,63.567,63.41,63.253,63.096,62.939,62.782
Armenia,ARM,青春期生育率（每千名 15-19 岁女性生育数）,39.3926,35.8928,32.393,31.4714,30.5498,29.6282,28.7066,27.785,27.1964,26.6078,26.0192,25.4306,24.842,24.1716,23.5012,22.8308,22.1604,21.49
American Samoa,ASM,青春期生育率（每千名 15-19 岁女性生育数）,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,青春期生育率（每千名 15-19 岁女性生育数）,61.9748,60.8384,59.702,57.9936,56.2852,54.5768,52.8684,51.16,50.328,49.496,48.664,47.832,47,46.1564,45.3128,44.4692,43.6256,42.782
Australia,AUS,青春期生育率（每千名 15-19 岁女性生育数）,17.9326,17.4258,16.919,16.9552,16.9914,17.0276,17.0638,17.1,16.1404,15.1808,14.2212,13.2616,12.302,12.1846,12.0672,11.9498,11.8324,11.715
Austria,AUT,青春期生育率（每千名 15-19 岁女性生育数）,13.9232,13.6346,13.346,12.9022,12.4584,12.0146,11.5708,11.127,10.5944,10.0618,9.5292,8.9966,8.464,8.2392,8.0144,7.7896,7.5648,7.34
Azerbaijan,AZE,青春期生育率（每千名 15-19 岁女性生育数）,36.5066,34.5648,32.623,33.7954,34.9678,36.1402,37.3126,38.485,40.636,42.787,44.938,47.089,49.24,50.5596,51.8792,53.1988,54.5184,55.838
Burundi,BDI,青春期生育率（每千名 15-19 岁女性生育数）,76.266,75.368,74.47,72.6116,70.7532,68.8948,67.0364,65.178,64.2804,63.3828,62.4852,61.5876,60.69,59.67,58.65,57.63,56.61,55.59
Belgium,BEL,青春期生育率（每千名 15-19 岁女性生育数）,10.6408,10.7954,10.95,10.766,10.582,10.398,10.214,10.03,9.2298,8.4296,7.6294,6.8292,6.029,5.7534,5.4778,5.2022,4.9266,4.651
Benin,BEN,青春期生育率（每千名 15-19 岁女性生育数）,118.5246,117.0918,115.659,114.263,112.867,111.471,110.075,108.679,106.2162,103.7534,101.2906,98.8278,96.365,94.3112,92.2574,90.2036,88.1498,86.096
Burkina Faso,BFA,青春期生育率（每千名 15-19 岁女性生育数）,139.304,138.203,137.102,135.6118,134.1216,132.6314,131.1412,129.651,126.8024,123.9538,121.1052,118.2566,115.408,113.1922,110.9764,108.7606,106.5448,104.329
Bangladesh,BGD,青春期生育率（每千名 15-19 岁女性生育数）,112.2538,109.1354,106.017,103.6338,101.2506,98.8674,96.4842,94.101,93.0018,91.9026,90.8034,89.7042,88.605,87.4764,86.3478,85.2192,84.0906,82.962
Bulgaria,BGR,青春期生育率（每千名 15-19 岁女性生育数）,44.808,43.661,42.514,43.2528,43.9916,44.7304,45.4692,46.208,45.7176,45.2272,44.7368,44.2464,43.756,42.9768,42.1976,41.4184,40.6392,39.86
Bahrain,BHR,青春期生育率（每千名 15-19 岁女性生育数）,17.583,17.184,16.785,16.3854,15.9858,15.5862,15.1866,14.787,14.6282,14.4694,14.3106,14.1518,13.993,13.868,13.743,13.618,13.493,13.368
"Bahamas, The",BHS,青春期生育率（每千名 15-19 岁女性生育数）,51.222,47.662,44.102,43.1744,42.2468,41.3192,40.3916,39.464,38.1306,36.7972,35.4638,34.1304,32.797,32.2378,31.6786,31.1194,30.5602,30.001
Bosnia and Herzegovina,BIH,青春期生育率（每千名 15-19 岁女性生育数）,21.4168,20.1424,18.868,18.3324,17.7968,17.2612,16.7256,16.19,15.3634,14.5368,13.7102,12.8836,12.057,11.574,11.091,10.608,10.125,9.642
Belarus,BLR,青春期生育率（每千名 15-19 岁女性生育数）,27.783,26.037,24.291,23.8958,23.5006,23.1054,22.7102,22.315,22.1266,21.9382,21.7498,21.5614,21.373,19.9998,18.6266,17.2534,15.8802,14.507
